Level 0 preferred term,Level 1 preferred term,Level 2 preferred term,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
skills,handling and moving,handling animals,tending and breeding aquatic animals,"Breeding, raising and harvesting aquatic and aquaculture stock such as fin fish and shellfish.","Examples:
- Induce spawning of cultured aquaculture species
- Handle broodstock
- Manure aquaculture ponds",S,S6,S6.9,S6.9.2
skills,handling and moving,handling animals,tending and breeding animals,"Breeding, raising and tending non-aquatic livestock such as cattle, poultry, and honeybees.","Excludes:
- Perform artificial insemination

Examples:
- Milk animals
- Breed stock
- Care for juvenile animals
- Manage animal hygiene
- Provide dog walking services",S,S6,S6.9,S6.9.1
skills,handling and moving,handling animals,moving and herding animals,"Directing, controlling or restraining the movement of live animals to move them into vehicles pens, feeding areas and other enclosed spaces, or to facilitate grooming, veterinary procedures or slaughter.","Examples:
- Load animals for transportation
- Control animal movement",S,S6,S6.9,S6.9.3
skills,handling and moving,sorting and packaging goods and materials,,"Sorting, packaging, separating or arranging materials, according to established patterns or procedures.",,S,S6,S6.1,
skills,handling and moving,sorting and packaging goods and materials,marking materials or objects for identification,Marking or labelling objects or materials for identification by type or individually.,"Examples:
- Assign codes to product items
- Change shelf labels 
- Label samples",S,S6,S6.1,S6.1.2
skills,handling and moving,sorting and packaging goods and materials,sorting materials or products,"Arranging materials into predetermined categories or groups, according to established patterns of procedures.","Examples:
- Differentiate types of packages
- Sort waste",S,S6,S6.1,S6.1.1
skills,handling and moving,sorting and packaging goods and materials,packaging objects,"Enclosing or protecting products for distribution or storage according to a coordinated system of preparing goods for transport, warehousing, logistics, sale, and use.","Examples:
- Pack merchandise for gifts
- Fill sacks
- Package fish",S,S6,S6.1,S6.1.3
skills,handling and moving,sorting and packaging goods and materials,sorting and packaging goods and materials,"Sorting, packaging, separating or arranging materials, according to established patterns or procedures.",,S,S6,S6.1,S6.1.0
skills,handling and moving,handling and moving,,"Sorting, arranging, moving, transforming, fabricating and cleaning goods and materials by hand or using handheld tools and equipment. Tending plants, crops and animals.","Excludes:
- Specific skills involving interaction with people",S,S6,S6.0,
skills,handling and moving,handling and moving,handling and moving,"Sorting, arranging, moving, transforming, fabricating and cleaning goods and materials by hand or using handheld tools and equipment. Tending plants, crops and animals.","Excludes:
- Specific skills involving interaction with people",S,S6,S6.0,S6.0.0
skills,information skills,,,"Collecting, storing, monitoring, and using information; Conducting studies, investigations and tests; maintaining records; managing, evaluating, processing, analysing and monitoring information and projecting outcomes.",,S,S2,,
skills,information skills,monitoring developments in area of expertise,,"Monitoring and keeping knowledge up-to-date concerning new research, methodologies, regulations, policies technological developments and other significant changes relevant to a particular field of specialisation.","Examples:
- Follow trends in sporting equipment
- Keep up to date with diagnostic innovations
- Monitor legislation developments
- Monitor technology trends",S,S2,S2.9,
skills,information skills,monitoring developments in area of expertise,monitoring developments in area of expertise,"Monitoring and keeping knowledge up-to-date concerning new research, methodologies, regulations, policies technological developments and other significant changes relevant to a particular field of specialisation.","Examples:
- Follow trends in sporting equipment
- Keep up to date with diagnostic innovations
- Monitor legislation developments
- Monitor technology trends",S,S2,S2.9,S2.9.0
skills,information skills,"monitoring, inspecting and testing",,"Examining and investigating problems, sites or objects to assess functioning or compliance with standards, laws or regulations.",,S,S2,S2.8,
skills,information skills,"monitoring, inspecting and testing",monitoring quality of products,"Monitoring the manufacturing process of products, testing their quality and investigating them for defects.","Examples: 
- check paper quality 
- inspect material",S,S2,S2.8,S2.8.10
skills,information skills,"monitoring, inspecting and testing",monitoring safety or security,"Monitoring and inspecting the safety or security of work areas, facilities, or properties.","Excludes:
- Testing and analysing substances

Examples:
- Conduct on board safety inspections
- Monitor building security
- Monitor parking areas to maintain security
- Inspect mine safety conditions",S,S2,S2.8,S2.8.4
